Course,Course Number,Course Prefix,Course Title,Letter Grade,Section Number,Semester,Count of letter grade,Department/Program
"M 408D: CALCULUS I, Section no. 52885",408D,M,CALCULUS I,A,52885,Fall 2025,78,Mathematics
"M 408D: CALCULUS I, Section no. 52885",408D,M,CALCULUS I,B,52885,Fall 2025,18,Mathematics
"M 408D: CALCULUS I, Section no. 52885",408D,M,CALCULUS I,C,52885,Fall 2025,7,Mathematics
"M 408D: CALCULUS I, Section no. 52885",408D,M,CALCULUS I,D,52885,Fall 2025,3,Mathematics
"M 408D: CALCULUS I, Section no. 52885",408D,M,CALCULUS I,F,52885,Fall 2025,2,Mathematics
"CS 312: INTRODUCTION TO PROGRAMMING, Section no. 53520",312,CS,INTRODUCTION TO PROGRAMMING,A,53520,Fall 2025,49,Computer Science
"CS 312: INTRODUCTION TO PROGRAMMING, Section no. 53520",312,CS,INTRODUCTION TO PROGRAMMING,B,53520,Fall 2025,28,Computer Science
"CS 312: INTRODUCTION TO PROGRAMMING, Section no. 53520",312,CS,INTRODUCTION TO PROGRAMMING,C,53520,Fall 2025,11,Computer Science
"CS 312: INTRODUCTION TO PROGRAMMING, Section no. 53520",312,CS,INTRODUCTION TO PROGRAMMING,D,53520,Fall 2025,5,Computer Science
"CS 312: INTRODUCTION TO PROGRAMMING, Section no. 53520",312,CS,INTRODUCTION TO PROGRAMMING,F,53520,Fall 2025,3,Computer Science
